id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
5	spot	-30	103.5	59.18901	27.24142	171.6864	100	66.38722	3.6	1,1,1,1
6	spot	30	103.5	170.4184	30.70851	0	100	40	3.6	1,1,1,1
7	spot	30	103.5	104.1028	36.1568	0	131	42.56543	3.6	1,1,1,1
8	spot	30	103.5	36.57848	37.1474	0	189	29.73831	2.590117	1,1,1,1
9	spot	0	103.5	18.42192	31.20381	313.7097	300	40	3.6	1,1,1,1
10	spot	-30	103.5	93.6728	64.88411	282.2488	238	68.21966	0.6029298	1,1,1,1
11	spot	60	103.5	170.8366	8.915376	250.7879	203	22.40854	3.6	1,1,1,1
12	spot	-30	103.5	140.2434	25.75552	174.383	198	40	3.6	1,1,1,1
